"Azure Well-Architected Azure Virtual Desktop workload - Jul 7, 2026 - 11:53:35 PM",,,,,
,,,,,
,,,,,
Your overall results,Excellent,'0/0',,,
,,,,,
,,,,,
What is Azure Virtual Desktop?,https://learn.microsoft.com/azure/virtual-desktop/overview,,,,
Enterprise-scale support for Microsoft Azure Virtual Desktop,https://learn.microsoft.com/azure/cloud-adoption-framework/scenarios/wvd/enterprise-scale-landing-zone,,,,
Deliver remote desktops and apps with Azure Virtual Desktop,https://learn.microsoft.com/training/paths/m365-wvd/,,,,
,,,,,
Category,Link-Text,Link,Priority,ReportingCategory,ReportingSubcategory,Weight,Context,CompleteY/N,Note
-----------,,,,,
,,,,,
Category,Question,Answers,Selected Answer,Note
Azure Virtual Desktop - Business continuity,How do you implement business continuity and disaster recovery for your host pools?,"We use multiple host pools, because we have distinct sets of users who have different business continuity disaster recovery requirements.",,,
Azure Virtual Desktop - Business continuity,How do you implement business continuity and disaster recovery for your host pools?,We have evaluated the FSLogix cloud cache feature for syncing profiles across regions.,,,
Azure Virtual Desktop - Business continuity,How do you implement business continuity and disaster recovery for your host pools?,We understand the active-active and active-passive models.,,,
Azure Virtual Desktop - Business continuity,How do you implement business continuity and disaster recovery for your host pools?,"We use a personal host pool, and we use Azure Site Recovery to replicate session hosts from the primary region to the secondary region.",,,
Azure Virtual Desktop - Business continuity,How do you implement business continuity and disaster recovery for your host pools?,None of the above,,,
Azure Virtual Desktop - Business continuity,How do you address platform service limitations in Azure Virtual Desktop?,"We closely monitor our Azure Virtual Desktop deployments, and we keep track of resource usage within our subscription.",,,
Azure Virtual Desktop - Business continuity,How do you address platform service limitations in Azure Virtual Desktop?,"We scale across multiple subscriptions, and we work with Azure support to adjust limits based on our business requirements.",,,
Azure Virtual Desktop - Business continuity,How do you address platform service limitations in Azure Virtual Desktop?,We scale horizontally for high demand by creating multiple host pools.,,,
Azure Virtual Desktop - Business continuity,How do you address platform service limitations in Azure Virtual Desktop?,None of the above,,,
Azure Virtual Desktop - Business continuity,"How do you protect FSLogix profiles against data corruption, datacenter failures, and regional outages?",We use a no-profile recovery strategy to minimize the need for protecting profiles.,,,
Azure Virtual Desktop - Business continuity,"How do you protect FSLogix profiles against data corruption, datacenter failures, and regional outages?",We use Azure Backup to back up FSLogix profiles that we store in Azure Files or Azure NetApp Files.,,,
Azure Virtual Desktop - Business continuity,"How do you protect FSLogix profiles against data corruption, datacenter failures, and regional outages?",We use zone-redundant storage to replicate data synchronously across Azure availability zones.,,,
Azure Virtual Desktop - Business continuity,"How do you protect FSLogix profiles against data corruption, datacenter failures, and regional outages?",We use the FSLogix cloud cache feature to replicate profiles across regions.,,,
Azure Virtual Desktop - Business continuity,"How do you protect FSLogix profiles against data corruption, datacenter failures, and regional outages?",None of the above,,,
Azure Virtual Desktop - Business continuity,How do you protect your virtual network against datacenter and Azure region failures?,We set up a virtual network in our secondary region for failover.,,,
Azure Virtual Desktop - Business continuity,How do you protect your virtual network against datacenter and Azure region failures?,We use Azure Site Recovery to set up a virtual network in our failover region.,,,
Azure Virtual Desktop - Business continuity,How do you protect your virtual network against datacenter and Azure region failures?,None of the above,,,
Azure Virtual Desktop - Business continuity,"How do you protect your golden images against data corruption, datacenter failures, and regional outages?",We use Azure Compute Gallery to store images.,,,
Azure Virtual Desktop - Business continuity,"How do you protect your golden images against data corruption, datacenter failures, and regional outages?",We use zone-redundant storage to spread copies of images across availability zones.,,,
Azure Virtual Desktop - Business continuity,"How do you protect your golden images against data corruption, datacenter failures, and regional outages?",We create a secondary compute gallery within a secondary region.,,,
Azure Virtual Desktop - Business continuity,"How do you protect your golden images against data corruption, datacenter failures, and regional outages?",None of the above,,,
Azure Virtual Desktop - Storage,What factors do you consider when you select your deployment regions for Azure Virtual Desktop?,We check that the virtual machine (VM) SKUs and Azure services that we need are available in our selected region.,,,
Azure Virtual Desktop - Storage,What factors do you consider when you select your deployment regions for Azure Virtual Desktop?,"Before we select a region, we familiarize ourselves with its compliance and data residency requirements.",,,
Azure Virtual Desktop - Storage,What factors do you consider when you select your deployment regions for Azure Virtual Desktop?,"To minimize latency and reduce data transfer costs, we place our resources in the same Azure region as our host pool.",,,
Azure Virtual Desktop - Storage,What factors do you consider when you select your deployment regions for Azure Virtual Desktop?,We familiarize ourselves with the regions that Azure Virtual Desktop management plane resources are available in.,,,
Azure Virtual Desktop - Storage,What factors do you consider when you select your deployment regions for Azure Virtual Desktop?,None of the above,,,
Azure Virtual Desktop - Storage,What factors do you consider when you select a virtual machine (VM) SKU and a disk type?,"Before we select a VM SKU, we examine the CPU, GPU, memory, and storage usage of the workloads that our users run.",,,
Azure Virtual Desktop - Storage,What factors do you consider when you select a virtual machine (VM) SKU and a disk type?,"For single-session hosts, we use VMs with at least two physical CPU cores.",,,
Azure Virtual Desktop - Storage,What factors do you consider when you select a virtual machine (VM) SKU and a disk type?,"For multiple-session hosts, we use VMs with at least four cores.",,,
Azure Virtual Desktop - Storage,What factors do you consider when you select a virtual machine (VM) SKU and a disk type?,We use a larger number of smaller VMs instead of a few large VMs.,,,
Azure Virtual Desktop - Storage,What factors do you consider when you select a virtual machine (VM) SKU and a disk type?,We use scaling plans to adjust our number of VMs based on user demand and schedule.,,,
Azure Virtual Desktop - Storage,What factors do you consider when you select a virtual machine (VM) SKU and a disk type?,"When we select a disk type, we take into account the I/O operations per second (IOPS) and throughput performance limits of our VMs.",,,
Azure Virtual Desktop - Storage,What factors do you consider when you select a virtual machine (VM) SKU and a disk type?,"For high-performance workloads, we use solid-state drives (SSDs).",,,
Azure Virtual Desktop - Storage,What factors do you consider when you select a virtual machine (VM) SKU and a disk type?,"For production workloads that require high performance, low latency, and a service-level agreement (SLA), we use premium SSDs.",,,
Azure Virtual Desktop - Storage,What factors do you consider when you select a virtual machine (VM) SKU and a disk type?,"For Windows 10 or Windows 11 Enterprise Multi-Session, we use premium SSDs.",,,
Azure Virtual Desktop - Storage,What factors do you consider when you select a virtual machine (VM) SKU and a disk type?,"For personal desktops, we use standard or premium SSDs.",,,
Azure Virtual Desktop - Storage,What factors do you consider when you select a virtual machine (VM) SKU and a disk type?,None of the above,,,
Azure Virtual Desktop - Storage,"If you use FSLogix as a user profile solution, which performance, capacity, and infrastructure requirements do you consider before you select an FSLogix storage solution?",We deploy our storage solution for FSLogix profile containers in the same region as our session hosts.,,,
Azure Virtual Desktop - Storage,"If you use FSLogix as a user profile solution, which performance, capacity, and infrastructure requirements do you consider before you select an FSLogix storage solution?","Before we select a storage solution, we check that it supports the protocols that we use.",,,
Azure Virtual Desktop - Storage,"If you use FSLogix as a user profile solution, which performance, capacity, and infrastructure requirements do you consider before you select an FSLogix storage solution?","In most scenarios, we use Azure Files as our storage solution for FSLogix.",,,
Azure Virtual Desktop - Storage,"If you use FSLogix as a user profile solution, which performance, capacity, and infrastructure requirements do you consider before you select an FSLogix storage solution?","For I/O-intensive workloads that require high performance and low latency, we use Azure Files premium file shares.",,,
Azure Virtual Desktop - Storage,"If you use FSLogix as a user profile solution, which performance, capacity, and infrastructure requirements do you consider before you select an FSLogix storage solution?","For I/O workloads that are less sensitive to performance variability, we use Azure Files standard file shares.",,,
Azure Virtual Desktop - Storage,"If you use FSLogix as a user profile solution, which performance, capacity, and infrastructure requirements do you consider before you select an FSLogix storage solution?","For a pay-as-you-go billing model, we use Azure Files standard file shares.",,,
Azure Virtual Desktop - Storage,"If you use FSLogix as a user profile solution, which performance, capacity, and infrastructure requirements do you consider before you select an FSLogix storage solution?","For large-scale Azure Virtual Desktop deployments, we use Azure NetApp Files as a storage solution for FSLogix.",,,
Azure Virtual Desktop - Storage,"If you use FSLogix as a user profile solution, which performance, capacity, and infrastructure requirements do you consider before you select an FSLogix storage solution?",We check that Azure NetApp Files is available in our region.,,,
Azure Virtual Desktop - Storage,"If you use FSLogix as a user profile solution, which performance, capacity, and infrastructure requirements do you consider before you select an FSLogix storage solution?",We consider performance requirements and costs when we select a tier and provision capacity for Azure NetApp Files.,,,
Azure Virtual Desktop - Storage,"If you use FSLogix as a user profile solution, which performance, capacity, and infrastructure requirements do you consider before you select an FSLogix storage solution?",We're aware that the capacity that we provision for Azure NetApp Files can affect our choice of tier.,,,
Azure Virtual Desktop - Storage,"If you use FSLogix as a user profile solution, which performance, capacity, and infrastructure requirements do you consider before you select an FSLogix storage solution?",None of the above,,,
Azure Virtual Desktop - Storage,Do you use App Attach to deliver applications to Azure Virtual Desktop virtual machines (VMs)?,"We use App Attach, and we separate its storage fabric from FSLogix profile containers.",,,
Azure Virtual Desktop - Storage,Do you use App Attach to deliver applications to Azure Virtual Desktop virtual machines (VMs)?,"We use App Attach, and to avoid performance bottlenecks, we exclude certain files and locations from antivirus scans.",,,
Azure Virtual Desktop - Storage,Do you use App Attach to deliver applications to Azure Virtual Desktop virtual machines (VMs)?,"We use App Attach with a multiple-session host, and we ran a test to see whether two or more users on the same session host can successfully run the app at the same time.",,,
Azure Virtual Desktop - Storage,Do you use App Attach to deliver applications to Azure Virtual Desktop virtual machines (VMs)?,"In our disaster recovery plans for Azure Virtual Desktop, we include steps for replicating our App Attach file share in our secondary failover location, and we ensure that the file share path is accessible in the secondary location.",,,
Azure Virtual Desktop - Storage,Do you use App Attach to deliver applications to Azure Virtual Desktop virtual machines (VMs)?,"We use Azure Files, and we checked that the App Attach file share contains the Storage File Data SMB Share Reader and Storage File Data SMB Share Elevated Contributor permissions.",,,
Azure Virtual Desktop - Storage,Do you use App Attach to deliver applications to Azure Virtual Desktop virtual machines (VMs)?,None of the above,,,
